name,link,item,drop,location,timezones
Oedon Chapel Dweller,https://www.bloodborne-wiki.com/2015/03/Oedon-Chapel-Dweller.html,"""Triumph"", Pebble",Formless Oedon x1 [100%],Cathedral Ward Oedon Chapel,"Evening, Night, Blood Moon"
Bigoted Old Man,http://www.bloodborne-wiki.com/2015/03/old-man.html,None,Pungent Blood Cocktail x3 [100%],"Cathedral Ward Foggy Alley, 
Cathedral Ward Oedon Chapel","Evening, Night, Blood Moon"
Lonely Old Woman,http://www.bloodborne-wiki.com/2015/03/old-woman.html,Sedatives,Sedatives x1 [100%],"Central Yharnam Canal Bridge, 
Cathedral Ward Oedon Chapel","Day, Evening, Night, Blood Moon"
Patches the Spider,http://www.bloodborne-wiki.com/2015/03/patches-spider.html,"Tonsil Stone, ""Beg for Life"", Anti-Clockwise Metamorphosis",Great One's Wisdom x1 [100%],"Cathedral Ward Entrance of Yahar'gul, 
Lecture Building 1F Patches' Lab, 
Nightmare Frontier Lower Caves","Night, Blood Moon"
Retired Hunter Djura,http://www.bloodborne-wiki.com/2015/03/old-hunter-gyula.html,"Powder Keg Hunter Badge, ""Brush off Dust"", Bold Hunter's Mark*",Powder Keg Hunter Badge x1 [100%]+ Blood Dreg x1 [100%] (Corruption),Old Yharnam Djura's Tower,"Evening, Night, Blood Moon"
Young Girl and Older Sister,http://www.bloodborne-wiki.com/2015/07/young-girl-and-older-sister.html,"Tiny Music Box, Red Messenger Ribbon, White Messenger Ribbon",None,Central Yharnam Canal Residence,"Day, Evening, Night, Blood Moon"
"Valtr, Master of the League",http://www.bloodborne-wiki.com/2015/11/valtr-master-of-league.html,"Impurity, League Staff, ""League Oath""",One-eyed Iron Helm x1 [100%]+ Blood Dreg x1 [100%] (Corruption),Forbidden Woods,"Night, Blood Moon"
"Brador, Church Assassin",http://www.bloodborne-wiki.com/2015/11/brador.html,None,Bloodletter [100%]+ Blood Dreg x1 [100%] (Corruption),Hunter's Nightmare,"Night, Blood Moon"
"Simon, Seeker of Secrets",http://www.bloodborne-wiki.com/2015/11/simon.html,"Holy Moonlight Sword, Simon's Bowblade, Underground Cell Inner Chamber Key",Simon's Bowblade [100%]+ Blood Dreg x1 [100%] (Corruption),"Hunter's Nightmare, Research Hall, Fishing Hamlet","Night, Blood Moon"
"Adeline, Research Hall Patient",http://www.bloodborne-wiki.com/2015/11/blood-saint-adeline.html,"Blood of Adeline, Balcony Key, Milkweed",Balcony Key x1 [100%],Research Hall,"Night, Blood Moon"
Fishing Hamlet Priest,http://www.bloodborne-wiki.com/2015/12/fishing-hamlet-priest.html,Accursed Brew,None,Fishing Hamlet,"Night, Blood Moon"
Yamamura the Wanderer,http://www.bloodborne-wiki.com/2015/11/yamamura-wanderer.html,None,"Yamamura Hunter Hat [100%], Khaki Haori [100%], Old Hunter Arm Bands [100%], Wine Hakama [100%]+ Blood Dreg x1 [100%] (Corruption)",Hunter's Nightmare,"Night, Blood Moon"
"Ludwig, the Holy Blade (Head)",http://www.bloodborne-wiki.com/2016/02/ludwig-holy-blade-head.html,Holy Moonlight Sword,Holy Moonlight Sword x1 [100%],Hunter's Nightmare,"Night, Blood Moon"
